"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I build many sandcastles, then there will be a small village on the beach.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",3
"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If someone's umbrella is blown away, it is an exceptionally windy day.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",3
"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person wants to borrow a book, then they need to send the borrow requests..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person takes a book without sending borrow requests, then they will be punished by library rules..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If you are in a quiet area in the library, then you should not talk loud..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the school bell rings, students then need to be in classroom waiting for class to begin..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical School. Now consider this statement about that place

STATEMENT:
If the teacher says ' class dimisses', students then can have their break to relax between classes,.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",5
"""Imagine a typical School. Now consider this statement about that place

STATEMENT:
If two student are being disrespectful to each other, they then will be punished by their dean..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",4
"""Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If I see a building while riding the train, that building is between my destination and point of origin .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",3
