"Question","AverageScore","AverageAgreeScore","GPTScore","text","ScoreDifference"
"X48",2.75,3.2,5,"""Imagine a typical Movie Theater. Now consider this statement about that place

STATEMENT:
If the movie was about to start, the audience would become quiet.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",2.25
"X42",2.85,3.85,5,"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If the family perch their beach things near the shoreline, the water will wash their stuff away and get everything wet.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",2.15
"X3",3,3.2,5,"""Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person takes a book without sending borrow requests, then they will be punished by library rules..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",2
"X14",3,3.55,5,"""Imagine a typical High school . Now consider this statement about that place

STATEMENT:
If the school lunch was bad, than the students would not want to eat it .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",2
"X34",3.4,3.8,5,"""Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If the person drops the dumbbell, it may cause a loud noise and potentially damage the floor..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",1.6
"X7",3.5,3.7,5,"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer buy some produce, they then will need to pay for it..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",1.5
"X28",3.65,3.7,5,"""Imagine a typical Public Library. Now consider this statement about that place

STATEMENT:
If a child starts running through the library, a librarian or parent might remind them to walk quietly..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",1.35
"X38",3.65,3.75,5,"""Imagine a typical locaion. Now consider this statement about that place

STATEMENT:
If the customer squeezed the loaf of bread too hard, then it could become squished and flattened.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",1.35
"X41",3.7,4.05,5,"""Imagine a typical Bar. Now consider this statement about that place

STATEMENT:
If the Man plays music in the jukebox, the music will play after the song before and play for a few minutes.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",1.3
"X33",4.15,4.1,5,"""Imagine a typical gym. Now consider this statement about that place

STATEMENT:
If the person drops a weight on the floor, it could make a loud noise..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.85
"X50",4.15,4.35,5,"""Imagine a typical Football game. Now consider this statement about that place

STATEMENT:
If the home team quarterback throws a touchdown pass, then the crowd will scream..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.85
"X2",4.3,4.55,5,"""Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses .

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.7
"X30",4.45,4.5,5,"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the customer accidentally bumped into the display of glass bottles, then some of them would likely shatter on the ground..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.55
"X9",4.5,4.4,5,"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone brings water through security, security will take the water, then the person will have to purchase a new water..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.5
"X31",4.5,4.55,5,"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the person accidentally dropped the carton of eggs, then they would crack and make a mess on the floor.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.5
"X32",4.55,4.65,5,"""Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If the child pushed the display of glass bottles, then they would likely shatter and create a hazardous mess on the floor.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.45
"X11",4.6,4.6,5,"""Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.4
"X13",4.6,4.4,5,"""Imagine a typical Grocery store. Now consider this statement about that place

STATEMENT:
If someone needs flour for a cake, the will drive to a grocery store, and purchase flour.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.4
"X26",4.7,4.6,5,"""Imagine a typical Grocery Store. Now consider this statement about that place

STATEMENT:
If someone notices an expired product on the shelf, they might inform a staff member so it can be removed..

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.3
"X37",4.7,4.75,5,"""Imagine a typical locaion. Now consider this statement about that place

STATEMENT:
If a shopper accidentally spilled a bottle of olive oil, then the floor could become dangerously slippery.

For this statement, respond with your level of agreement using one of the number options from this scale:

1: ""Definitely false"", 
2: ""Probably false"", 
3: ""Neither true nor false"", 
4: ""Probably true"", 
5: ""Definitely true""

Ensure you respond with a number.""",0.3
